# param=Ap z=3.6 tol=0.25 log_space=True source=results/single_z_stage9/refit/z3.6/pareto_Ap.csv
Complexity,Loss,grad_err,n_keep,gate_pass,x0_enters
20,19.960325,0.08189093636493344,48,True,True
18,20.161442,0.08502488135936276,48,True,True
17,20.65919,0.0553106783949075,48,True,True
16,21.489782,0.05014989540881987,48,True,True
15,22.135069,0.03649834880902397,48,True,True
14,22.237764,0.06798105732347531,48,True,True
13,25.94919,0.042782065107751954,48,True,True
12,28.196644,0.23526130302636422,48,True,True
11,30.522184,0.23784924012015207,48,True,True
10,33.627296,0.2270045541197781,48,True,True
9,36.419735,0.09939817577402843,48,True,True
8,36.51156,0.08666930172845866,48,True,True
7,38.102898,0.09223134857167381,48,True,True
6,38.595325,0.09339202266820523,48,True,True
5,39.438812,0.07668482957313766,48,True,True
4,47.21069,0.2579766192294376,48,False,True
3,52.47689,0.2223807022541336,48,True,True
2,74.2525,0.6856825269119619,48,False,True
1,75.739235,0.7533813072694855,48,False,True
