# param=ns z=3.6 tol=0.25 log_space=True source=results/decider_budget_z3.6/refit/z3.6/pareto_ns.csv
Complexity,Loss,grad_err,n_keep,gate_pass,x0_enters
35,0.44188944,0.318922274861413,48,False,True
34,0.45913357,0.3929877476590349,48,False,True
32,0.47378808,0.39189654310380034,48,False,True
30,0.5074076,0.4029043778281845,48,False,True
28,0.533405,0.40239305372263673,48,False,True
27,0.5659485,0.42895934873042413,48,False,True
26,0.62022674,0.43593061872439903,48,False,True
25,0.6516044,0.44519378876819815,48,False,True
24,0.71729916,0.6050161220977361,48,False,True
23,0.78137827,0.6210538660923917,48,False,True
22,0.8152335,0.6260946279310865,48,False,True
20,0.89953613,0.7399593584980457,48,False,True
19,0.9902402,0.5897474658531379,48,False,True
18,1.0116925,0.6619809292018515,48,False,True
17,1.0310159,0.47771732788060645,48,False,True
16,1.1147037,0.6701501281435136,48,False,True
15,1.141212,0.788093138280918,48,False,True
14,1.2014214,0.695607741114181,48,False,True
13,1.2409436,0.4940993980852128,48,False,True
