# param=bhfeedback z=4.2 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z4.2/pareto_bhfeedback.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.60585755,0.28497467101443735,1.1099323850387156e-05,48,False,True
18,0.6222283,0.27810638754798817,1.1347404784379096e-05,48,False,True
16,0.62864894,0.2847028593374654,1.1373761034910018e-05,48,False,True
14,0.64217496,0.270986848474968,1.1943116476423754e-05,48,False,True
13,0.71830827,0.3569893649344801,1.249823562403218e-05,48,False,True
11,0.74867195,0.21217767645588365,1.2184798026156005e-05,48,True,True
9,0.8093154,0.21205890417404477,1.4123458790847798e-05,48,True,True
8,1.0639157,0.5803221712849911,2.012379574472868e-05,48,False,True
7,1.1192793,0.30809763060949374,1.4470922217045395e-05,48,False,True
