# param=omegamh2 z=2.6 tol=0.25 log_space=True source=results/single_z_z2.6_value/refit/z2.6/pareto_omegamh2.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,1.6159797,0.20737019786269834,5.9857919980184406e-05,48,True,True
18,1.615981,0.20743035357980272,5.9842962646067833e-05,48,True,True
17,1.7914276,0.21864634242264414,5.217690370579726e-05,48,True,True
15,2.0896628,0.5631423220059013,7.514729092684828e-05,48,False,True
13,2.2383003,0.45757201369338796,7.042939474094963e-05,48,False,True
11,2.4702423,0.45729976848676346,7.074664526325566e-05,48,False,True
10,2.9740486,0.376926590310691,7.225186287948585e-05,48,False,True
9,3.079938,0.2770869337293935,7.16638293608296e-05,48,False,True
7,3.3404584,0.38168119484926066,8.828693097472624e-05,48,False,True
