# param=tau0 z=3.6 tol=0.25 log_space=True source=results/single_z_stage6_log/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,n_keep,gate_pass,x0_enters
19,0.03675531,0.15979534516578825,48,True,True
18,0.042494632,0.15988451522085362,48,True,True
16,0.042494677,0.15988489392066207,48,True,True
14,0.10394502,0.25470796231078413,48,False,True
12,0.12075529,0.1592720369922231,48,True,True
10,0.25848788,0.274034155884543,48,False,True
9,0.28098354,0.306852435419761,48,False,True
7,0.3157587,0.4551466764787463,48,False,True
6,0.8090534,0.5142664728194037,48,False,True
4,3.875903,0.5995418431071591,48,False,True
3,5.462659,0.702700937654711,48,False,True
2,5.660991,0.5662524663640462,48,False,True
1,5.819459,0.6679651599738194,48,False,True
